loan_amnt,int_rate,grade,emp_title,emp_length,home_ownership,annual_inc,loan_status,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc
5375,13.11,B,,,RENT,34000,Fully Paid,26.12,Apr-98,9,1,14998,88.7,20
3250,16.78,C,,,RENT,22500,Charged Off,18.76,Jun-09,7,0,7587,54.6,7
15000,13.67,B,facility technician,10+ years,MORTGAGE,90000,Fully Paid,21.44,May-97,10,0,4707,52.3,40
15000,13.35,C,Housekeeper,7 years,RENT,52000,Fully Paid,11.68,Jul-06,13,0,18391,60.7,21
10800,13.98,C,Shift Supervisor,4 years,RENT,51840,Fully Paid,25.6,Sep-03,11,0,15727,82.8,22
35000,16.99,D,,4 years,MORTGAGE,130000,Fully Paid,14.03,Aug-92,10,0,34130,53.8,27
28000,19.91,E,American Airlines,10+ years,RENT,52000,Charged Off,20.7,Dec-88,10,0,29178,87.6,16
21000,17.86,D,laborer,2 years,MORTGAGE,80000,Fully Paid,15.67,Feb-02,15,0,4189,13,35
8400,12.12,B,Vegas.com,10+ years,RENT,120000,Fully Paid,29.56,Jan-92,11,0,28739,71.3,34
11950,16.29,D,labor,10+ years,RENT,30000,Fully Paid,13.73,Aug-01,6,0,2975,51.3,15
6700,21.49,D,Home attendant ,< 1 year,RENT,21000,Fully Paid,10.86,Dec-10,15,0,5832,14.7,21
16000,12.99,B,Payroll Manager,10+ years,MORTGAGE,78000,Fully Paid,23.31,Oct-99,15,0,18863,75.2,23
20000,13.67,B,Litigation Paralegal,10+ years,MORTGAGE,64000,Fully Paid,21.91,Sep-04,18,0,28236,51.3,37
16000,18.54,E,Accountant,3 years,RENT,40000,Charged Off,37.26,Sep-03,16,0,13179,55.6,20
15000,7.89,A,,,MORTGAGE,90000,Fully Paid,11.75,Aug-94,7,0,8205,93.2,18
12875,17.1,C,Cracker Barrel Old Country Store,8 years,OWN,58000,Fully Paid,16.88,Jul-03,11,0,11417,54.1,16
15000,18.25,D,Rn,8 years,MORTGAGE,75000,Fully Paid,24.43,Apr-95,18,0,41310,59.6,23
8000,11.67,B,Client Support Specialist,9 years,OWN,55000,Fully Paid,25.35,Apr-00,15,0,6725,21.2,36
14000,6.24,A,Branch Manager,2 years,MORTGAGE,100000,Fully Paid,19.01,Jan-99,11,0,31612,71.5,29
12000,8.18,B,clinical therapist,7 years,MORTGAGE,60000,Charged Off,20.34,Feb-02,7,0,21750,59.9,20
15000,13.98,C,Armored Car Guard,3 years,OWN,40000,Fully Paid,14.55,Jan-06,4,1,9207,51.7,9
12000,12.35,B,MCSO,6 years,MORTGAGE,38000,Fully Paid,10.67,Dec-04,10,0,9537,62.3,14
35000,14.16,C,Administrator,9 years,MORTGAGE,118497.84,Fully Paid,10.37,Jun-95,8,0,8148,83.1,59
10000,17.56,D,,,MORTGAGE,32000,Fully Paid,9.83,Sep-06,6,0,11615,82.4,7
15000,18.55,E,Field Biologist,3 years,RENT,50000,Fully Paid,4.22,Dec-03,6,0,8912,47.9,23
9000,12.35,B,salt lake city school district,7 years,MORTGAGE,59500,Fully Paid,16.98,Jul-94,9,0,25515,91.1,35
25000,22.15,E,Rural Letter Carrier,10+ years,MORTGAGE,80000,Fully Paid,11.36,Oct-90,13,0,20395,74.4,41
5000,10.39,B,self,10+ years,RENT,66000,Fully Paid,1.56,Dec-01,12,0,15807,20,17
20000,7.9,A,Sr Social Worker,9 years,RENT,76000,Fully Paid,5.27,Apr-99,10,0,11492,37.4,19
10000,15.99,D,Truck driver,5 years,RENT,60000,Fully Paid,11.78,Dec-01,8,0,9197,73,14
10000,16.07,D,Taylor Public Schools,10+ years,RENT,61000,Fully Paid,17.51,Feb-95,11,0,13834,65.4,19
15975,24.99,F,carrier,5 years,MORTGAGE,47000,Fully Paid,2.4,May-03,10,0,2049,58.5,23
12000,14.99,C,Attorney,1 year,MORTGAGE,128000,Fully Paid,13.95,Oct-02,8,0,7939,42.5,21
9900,9.67,B,Bartender,3 years,RENT,40000,Fully Paid,19.85,Sep-03,8,0,13398,63,12
3350,15.61,D,Administrative Assistant,10+ years,MORTGAGE,52000,Charged Off,4.34,Mar-04,4,0,787,34.2,9
17000,19.19,E,Bookkeeper,2 years,RENT,50000,Fully Paid,16.72,Aug-03,14,0,14014,46.7,21
6425,8.39,A,Office Administrator,3 years,RENT,33000,Fully Paid,9.43,Oct-00,13,0,6437,26.9,30
7200,21,E,Roofers Local 195,5 years,RENT,30000,Charged Off,12.8,Nov-04,8,0,8436,86.1,13
7475,12.69,C,Cleric II,< 1 year,RENT,33000,Fully Paid,15.82,Mar-10,20,0,4041,35.8,30
10000,13.98,C,Executive Manager,10+ years,MORTGAGE,55200,Fully Paid,23.37,Mar-96,13,0,24493,62.3,27
13200,10.74,B,Brookdale University Hospital,1 year,RENT,45000,Fully Paid,12.8,May-94,8,0,10665,75.6,10
19000,6.68,A,owner,10+ years,OWN,80000,Fully Paid,24.63,Jun-96,16,0,26650,49.7,56
11250,19.22,D,Global Account Director,1 year,RENT,135000,Fully Paid,10.68,Nov-86,13,0,4944,58.2,26
17800,11.49,B,Dekalb County Fire Rescue,4 years,MORTGAGE,95000,Charged Off,15.63,Jan-01,8,0,27917,77.5,26
33000,17.27,C,Medtronic,9 years,MORTGAGE,92000,Fully Paid,28.7,Apr-00,12,0,32332,92.6,24
19000,12.12,B,Broward Sheriff Office,8 years,RENT,48000,Fully Paid,29.76,Jun-94,12,0,30071,46.5,28
10000,16.99,D,CNA/QMA,7 years,OWN,40000,Charged Off,14.34,May-03,8,0,7680,64,18
8050,16.55,D,CNA,4 years,RENT,29500,Charged Off,28.23,Jan-02,9,0,3327,39.6,12
9000,15.61,D,Program Manager,6 years,RENT,80000,Fully Paid,15.51,Sep-94,10,0,6554,76.2,26
7200,19.97,D,Ultrasound Technologist,6 years,RENT,72000,Charged Off,15.28,Mar-01,19,0,7176,20.9,43
5600,7.89,A,Mate,5 years,MORTGAGE,63000,Fully Paid,3.2,Sep-12,5,0,5066,46.9,8
10000,18.25,D,Lead Technician level 4 ,3 years,RENT,39000,Fully Paid,28.83,Apr-06,20,0,5540,56.5,26
30000,24.7,G,Medtronic,5 years,MORTGAGE,187321,Fully Paid,21.03,Oct-02,21,0,54810,93.4,52
9425,13.49,C,beach house mkt inc,8 years,RENT,45000,Fully Paid,15.71,Dec-01,12,0,15116,81.3,31
23000,8.39,A,Controller,10+ years,MORTGAGE,80000,Fully Paid,14.49,May-98,15,0,51791,73.9,34
18000,10.99,B,Sales Manager,4 years,MORTGAGE,90000,Fully Paid,17.43,Dec-02,9,0,12038,64.7,16
30225,18.24,D,,,MORTGAGE,65800,Charged Off,23.87,Mar-99,11,0,14390,69.5,31
3000,7.9,A,PA Leadership Charter School,< 1 year,RENT,39000,Fully Paid,14.86,Nov-03,11,0,1865,26.2,13
5000,10.99,B,Electrician,7 years,RENT,52000,Fully Paid,16.27,Oct-05,11,0,9855,27.3,19
4000,13.33,C,technician,10+ years,MORTGAGE,75000,Fully Paid,5.34,May-90,9,0,12663,86,16
30000,16.49,D,Sergeant Major,10+ years,RENT,101000,Fully Paid,15.76,Jun-03,7,1,6080,76,15
12625,25.78,F,Nursing Assistant,7 years,MORTGAGE,43000,Fully Paid,33.88,Aug-03,18,0,19993,55.7,31
13400,25.83,G,DESIGNER,10+ years,MORTGAGE,56000,Charged Off,28.05,Jun-01,23,0,28845,84.5,44
24250,18.64,E,Keystone Automotive Operations,10+ years,MORTGAGE,46200,Fully Paid,21.32,Jan-98,9,0,18894,90,22
21000,12.12,B,,7 years,RENT,150000,Fully Paid,10.03,May-03,9,0,40982,59.6,20
17000,7.51,A,Black Horse Pike Regional School Distric,10+ years,MORTGAGE,87000,Fully Paid,12.54,Oct-78,15,0,17523,33.5,35
9100,13.99,C,Store manager,9 years,RENT,41000,Charged Off,11.8,Feb-01,6,1,1355,10.8,12
26000,15.22,C,HHC 40th ESB (US Army),10+ years,RENT,59500,Fully Paid,11.25,Jul-94,8,0,24655,92.6,15
30000,15.31,C,Alice G. Alatorre DDS.,9 years,MORTGAGE,108000,Charged Off,7.25,May-98,8,0,19430,84.8,15
15000,6.62,A,Capital One,6 years,MORTGAGE,83000,Fully Paid,10.52,Jun-06,11,0,2213,4.7,22
8000,12.35,B,Sally beauty supply,7 years,RENT,27000,Fully Paid,10.4,Oct-06,6,0,9027,59.8,9
8000,12.99,B,Production Administrator,8 years,MORTGAGE,25000,Fully Paid,15.36,Dec-02,8,1,11024,56.2,18
11200,15.31,C,Production Operator,9 years,RENT,106000,Fully Paid,11.82,Aug-93,10,1,2524,11.1,30
12000,7.69,A,Maintenance,10+ years,MORTGAGE,45000,Fully Paid,19.12,Apr-01,11,0,5931,29.8,37
6600,19.53,D,Legal Secretary,10+ years,MORTGAGE,48000,Fully Paid,34.3,Nov-01,23,1,13712,66.2,39
5000,10.16,B,Incomm,6 years,RENT,54000,Fully Paid,20.56,Feb-03,10,0,18470,69.2,18
5000,7.62,A,Systems Administrator,10+ years,OWN,55000,Fully Paid,1.96,Jun-93,8,0,3602,13.8,13
14000,9.75,B,line worker,10+ years,MORTGAGE,47000,Fully Paid,21.48,Mar-01,10,0,8550,40.5,38
26575,16.55,D,Train Operator,1 year,RENT,70000,Fully Paid,9.32,Oct-99,10,0,21936,68.8,24
8000,12.99,B,Principal,10+ years,MORTGAGE,110000,Fully Paid,21.77,Sep-92,18,0,52572,84.9,31
6500,7.9,A,Resident Service Director,< 1 year,MORTGAGE,43000,Fully Paid,18.87,Nov-92,16,0,6248,23.8,50
19725,13.68,C,Virginia Commonwealth University,2 years,MORTGAGE,73410,Fully Paid,22.23,Dec-01,8,0,31123,82.3,11
18525,15.88,C,UGHS AUTIMIS BILLING INC,1 year,MORTGAGE,42000,Fully Paid,12.97,Jun-83,7,0,6665,41.9,10
5400,17.1,C,Solutions Architect,5 years,MORTGAGE,153000,Fully Paid,17.9,Jun-03,21,0,35490,79.8,29
33600,16.29,D,Analyst,3 years,MORTGAGE,145000,Fully Paid,11.24,Oct-01,14,0,50348,63.5,62
28000,17.86,D,Director special projects,4 years,MORTGAGE,120000,Fully Paid,20.98,Jul-99,9,0,26373,92.2,25
35000,14.65,C,Teacher,10+ years,MORTGAGE,95000,Fully Paid,13.2,Sep-97,10,0,15437,42.1,25
8400,6.92,A,Sales Rep.,3 years,RENT,105000,Fully Paid,6.89,Sep-03,5,2,6024,76.3,12
30000,23.83,F,Victorian Senior Care,10+ years,MORTGAGE,72500,Charged Off,14.09,Nov-93,7,0,6875,94.2,32
28000,13.67,C,Vice President,1 year,MORTGAGE,104000,Charged Off,20.03,Feb-93,14,1,28164,77,19
12525,24.99,F,Driver,2 years,RENT,70000,Fully Paid,2.4,Apr-07,5,1,3723,26.2,5
9000,10.75,B,Sushi chef,10+ years,RENT,25000,Fully Paid,8.79,Nov-99,5,0,5905,24.3,16
19600,11.14,B,Wal-Mart,6 years,RENT,44000,Fully Paid,20.78,Nov-05,8,0,2616,29.7,21
17625,18.49,D,Vero Beach Surgery Center,10+ years,MORTGAGE,85000,Charged Off,23.22,Dec-92,17,0,52379,37.6,33
15000,11.99,B,Recruiter,7 years,MORTGAGE,72000,Fully Paid,32.85,May-03,16,0,26124,50.8,28
11875,20.31,D,USPS,10+ years,OWN,56000,Fully Paid,5.42,Mar-86,16,1,6182,33.1,35
30000,17.86,D,IT Specialist,10+ years,MORTGAGE,74000,Charged Off,27.98,Dec-88,13,1,20002,86.6,18
10000,17.57,D,Branch Manager,< 1 year,RENT,80000,Fully Paid,17.69,May-89,13,1,9631,38.1,46
13075,27.31,G,Clerk-specialist level,10+ years,MORTGAGE,54777,Fully Paid,22,Dec-00,4,0,3845,59.2,27
35000,19.99,E,Transportation manager,10+ years,MORTGAGE,88500,Fully Paid,19.88,Mar-91,5,3,37256,79.6,22
6500,9.75,B,invoice,10+ years,RENT,40000,Fully Paid,34.86,Mar-05,10,1,4803,94.2,28
12000,6.49,A,LPN,2 years,RENT,55000,Fully Paid,14.05,Jun-10,11,0,6007,23.6,24
21000,22.99,F,buyer,2 years,RENT,45000,Fully Paid,34.32,Jun-01,10,0,22739,75.5,42
25000,12.59,C,manager,4 years,MORTGAGE,85000,Fully Paid,5.19,Dec-98,8,0,109715,49.8,21
20000,10.37,B,HP,< 1 year,MORTGAGE,170000,Fully Paid,11.15,Jun-90,8,0,140820,76.2,19
5000,9.17,B,Administrative Specialist,10+ years,RENT,85000,Fully Paid,14.05,Jan-90,9,0,5353,46.5,21
12000,14.33,C,miles electric co,10+ years,RENT,45000,Fully Paid,9.33,Jan-01,7,0,12126,89.8,17
10000,13.53,B,Program Manager,6 years,MORTGAGE,150000,Fully Paid,5.7,Sep-01,6,0,6675,72.6,28
15000,7.9,A,Imclone,4 years,MORTGAGE,82000,Fully Paid,13.57,Nov-00,14,0,17196,69.1,33
20000,22.45,F,Dell Inc.,10+ years,MORTGAGE,90000,Charged Off,14.11,Jan-94,6,0,17615,84.7,15
16800,24.99,F,Math Teacher,2 years,OWN,51000,Charged Off,25.01,Aug-02,8,1,16437,69.4,11
5500,13.11,B,Smith & Wollensky,3 years,RENT,38000,Fully Paid,6.76,Nov-03,5,0,5668,43.6,8
13625,14.64,C,medical clinic coordinator,2 years,RENT,36000,Fully Paid,16.2,Jul-03,6,0,21496,79.3,6
8325,16.99,D,FSQA Supervisor II,5 years,RENT,54290,Fully Paid,16.77,Jan-11,11,0,8331,40.2,18
6375,24.5,F,Installer,1 year,OWN,20000,Charged Off,23.73,Aug-08,6,0,2912,64.7,7
10000,17.99,D,Quick Cash Advance LLC.,2 years,MORTGAGE,21000,Fully Paid,2.16,Sep-06,3,0,1669,11.1,5
13225,12.35,B,Lifepoint Hospitals,2 years,MORTGAGE,65300,Fully Paid,10.47,Jun-94,13,0,20175,36.4,25
12000,10.16,B,"precision strip, inc",7 years,MORTGAGE,63000,Fully Paid,20.9,Jun-05,11,0,10965,43.7,25
35000,9.16,B,"Manager Maintenance, Compliance",10+ years,MORTGAGE,110000,Fully Paid,12.57,Nov-97,13,0,58213,61,26
12000,6.03,A,Palm Beach County Sheriff's Office,10+ years,MORTGAGE,98794.08,Fully Paid,4.49,May-96,15,0,18724,24.8,38
5000,9.16,B,,,MORTGAGE,20000,Fully Paid,20.41,Apr-10,12,1,1600,16.3,14
11350,16.55,D,Assistant Store Director,10+ years,RENT,56300,Fully Paid,29.27,Dec-01,6,0,21016,88.7,22
9000,13.67,B,Case Manager,4 years,MORTGAGE,92000,Charged Off,11.31,Sep-06,13,0,14033,42.1,42
25000,14.99,C,Social worker,10+ years,RENT,65187.37,Fully Paid,8.21,May-93,7,0,10574,64.5,16
21000,14.65,C,FINGER LAKES DDSO,10+ years,MORTGAGE,60000,Fully Paid,21.14,May-89,20,0,15343,46.6,33
13000,12.49,B,Field Nurse,5 years,RENT,52000,Fully Paid,15.44,Sep-05,9,0,9169,70.5,18
9600,15.61,D,social service supervisor,10+ years,MORTGAGE,70000,Charged Off,23.5,Apr-00,18,0,0,0,50
2800,10.16,B,biomat,3 years,RENT,29000,Fully Paid,14.69,May-01,8,0,2763,38.9,27
2200,16.29,D,Quality Control Specialist,10+ years,MORTGAGE,65500,Fully Paid,10.49,Jun-92,5,1,76757,16.2,9
19200,15.31,C,Project manager ,3 years,MORTGAGE,88000,Fully Paid,24.09,Jan-06,9,0,10179,30.1,20
9000,11.55,B,Dell Inc,6 years,MORTGAGE,110000,Fully Paid,13.32,Sep-01,19,0,9248,58.9,49
8000,6.62,A,Machinist,6 years,MORTGAGE,80000,Fully Paid,26.39,Apr-86,12,0,19764,21.6,23
5000,17.76,D,Office Assistant Sr,10+ years,RENT,42000,Fully Paid,33.77,Aug-96,14,0,19118,82.1,25
11800,28.99,G,,,RENT,44011,Fully Paid,15.68,Jun-04,9,1,6313,67.2,13
7000,6.24,A,IT Process Manager,10+ years,MORTGAGE,96720,Fully Paid,22.03,Aug-97,12,0,3330,11.5,37
35000,23.1,E,CHIEF ACCOUNTANT,8 years,MORTGAGE,125388,Fully Paid,25.77,May-84,26,0,128741,58.6,59
10800,17.57,D,CPHT,10+ years,RENT,45000,Charged Off,23.44,Jul-05,12,0,5400,29,30
11950,13.99,C,Customer Service Agent,10+ years,RENT,40000,Charged Off,17.76,Aug-03,14,1,7254,41,31
16000,15.61,D,Assistant General Manager,10+ years,RENT,72000,Charged Off,11.38,May-11,5,0,999,22.7,5
18000,11.14,B,Advent International,6 years,RENT,85000,Charged Off,11.54,Oct-02,12,0,3891,74.8,33
6000,10.49,B,Teacher ,6 years,RENT,50000,Fully Paid,21.65,Mar-05,10,0,6313,25.7,23
33425,17.57,D,Assistant Professor,5 years,RENT,76000,Fully Paid,17.43,Sep-02,11,0,38952,84.3,13
25600,7.69,A,Electrical Engineer,10+ years,MORTGAGE,105000,Fully Paid,17.86,Jan-89,15,0,27528,53.1,35
3550,24.99,F,professor,8 years,MORTGAGE,120000,Charged Off,6.77,Apr-07,6,0,8934,44.9,8
20000,20.49,E,Recruiter,3 years,MORTGAGE,68000,Fully Paid,23.72,Aug-99,11,1,6675,69.5,42
18000,7.89,A,Manager,9 years,OWN,85000,Fully Paid,18.3,May-96,8,0,32606,71.5,24
12800,22.7,E,city of new haven p/w,10+ years,RENT,65000,Charged Off,14.82,Oct-99,9,0,11347,24.6,13
16000,13.33,C,Executive Administrator,1 year,RENT,100000,Fully Paid,6.7,Oct-00,14,0,17309,60.9,27
5600,17.56,D,Curtain Wall Design Consulting,1 year,RENT,103000,Fully Paid,14.46,Feb-92,9,1,9278,59.1,14
15000,11.99,B,Psychotherapist,7 years,RENT,62000,Fully Paid,26.56,Sep-99,23,0,27438,53.4,45
16000,16.99,D,Courtroom Clerk,2 years,MORTGAGE,78200,Fully Paid,16.48,Jul-01,12,0,7513,33.2,21
9000,6.03,A,Federal Law Enforcement,10+ years,MORTGAGE,145000,Fully Paid,15.42,Oct-01,19,0,11685,27.2,39
15500,10.15,B,,,OWN,107000,Fully Paid,5.97,May-80,5,0,19492,73.8,20
6000,10.99,B,Supervisor,3 years,RENT,63000,Fully Paid,20.65,Aug-01,9,1,2815,25,22
9000,6.89,A,Mechanic,4 years,RENT,65000,Fully Paid,8.77,Oct-08,18,0,3972,21.9,31
24000,14.65,C,Lab Director,4 years,RENT,100000,Fully Paid,5.22,Nov-07,5,0,4616,26.4,10
35000,17.57,D,teacher,10+ years,MORTGAGE,150000,Charged Off,15.31,Jan-98,42,0,44777,62.7,52
30000,19.52,E,cbp officer,7 years,MORTGAGE,101000,Fully Paid,19.88,Apr-97,13,0,16300,48.7,30
3000,8.9,A,Practical Nurse,2 years,RENT,50000,Fully Paid,14.71,Mar-99,12,0,16478,42.4,27
15000,20.31,D,Texeltek,3 years,MORTGAGE,100000,Fully Paid,17.95,Sep-99,20,0,18777,75.1,40
24000,24.5,F,Lieutenant,10+ years,MORTGAGE,224000,Charged Off,5.41,Aug-01,15,0,5807,58.1,32
6000,14.3,C,lead tech,5 years,OWN,40000,Fully Paid,1.56,Nov-05,6,0,2588,15.5,17
28000,21.98,E,US Army,10+ years,RENT,73000,Charged Off,6.67,Jun-96,9,0,6996,39.5,15
10000,7.89,A,Director,10+ years,RENT,145000,Fully Paid,10.04,Apr-98,10,0,11832,52.4,27
9450,7.62,A,"O2 Media, Inc.",5 years,MORTGAGE,45000,Fully Paid,20.81,Aug-99,5,0,3713,61.9,6
12000,6.03,A,Follet,6 years,RENT,45000,Fully Paid,21.06,Jun-86,8,0,8114,16.4,16
13000,19.52,E,Lending Manager 2,4 years,MORTGAGE,80000,Charged Off,14.93,Sep-98,7,0,7681,85.3,14
20000,16.29,C,URS ,< 1 year,MORTGAGE,150000,Fully Paid,24.45,Jun-82,20,0,54936,71.3,44
6500,9.67,B,Lead Painter,5 years,MORTGAGE,41000,Charged Off,11.42,Oct-81,8,0,3540,28.5,20
34350,28.99,G,Quality improvement data analyst,3 years,RENT,84000,Fully Paid,16.86,Sep-03,11,1,8400,85.7,23
3500,8.18,B,Project manager,1 year,MORTGAGE,85000,Fully Paid,8.7,Jun-05,12,0,8142,18,28
3500,14.65,C,Owner ,10+ years,MORTGAGE,28000,Charged Off,4.89,Feb-94,4,1,3995,49.9,6
5400,11.99,B,Clinical account specialist,9 years,RENT,65000,Fully Paid,17.67,Nov-97,14,0,13958,51.1,39
14000,9.67,B,Technical Director,10+ years,RENT,98593.24,Fully Paid,9.64,Dec-84,6,0,10084,37.8,26
12250,10.99,B,Administrative Support,1 year,RENT,40000,Fully Paid,21.99,Jul-03,12,0,3624,15.9,21
28625,11.99,B,Teacher,10+ years,MORTGAGE,60000,Fully Paid,24.6,Nov-91,11,0,19021,47.6,25
13600,12.99,C,Sales,9 years,MORTGAGE,64000,Fully Paid,28.8,May-94,18,1,15409,67.9,52
14675,15.61,C,"Executive Director, IT and Datacenter",8 years,RENT,130000,Fully Paid,8.56,Oct-01,6,0,11120,55.6,11
15000,9.49,B,Security Officer,2 years,RENT,52000,Fully Paid,10.06,Nov-06,19,0,5260,21.5,27
13300,10.49,B,Metrics Consultant,10+ years,MORTGAGE,58000,Charged Off,23.98,Aug-00,8,0,12716,64.9,18
23050,16.29,D,traction power inspector,3 years,RENT,97000,Fully Paid,7.36,Oct-04,5,0,3798,66.6,16
11325,25.99,G,Provisioning Analyst,9 years,MORTGAGE,38000,Charged Off,17.34,Sep-04,18,0,7498,70.7,32
20000,19.52,D,Friedrich Petzel Gallery,< 1 year,RENT,60000,Fully Paid,11.96,Jun-03,10,0,15195,91,25
5800,16.29,D,,,OWN,18200,Fully Paid,12.8,Jun-11,5,0,6808,61.9,18
25900,16.29,D,Ferry Terminal Manager I,7 years,RENT,67000,Fully Paid,31.72,Mar-01,17,1,2874,6.5,21
8000,12.69,C,mill scheduler,10+ years,RENT,98000,Fully Paid,21.14,Apr-88,10,0,7969,59.9,16
25000,12.49,B,Director Information Technology,10+ years,RENT,170000,Fully Paid,1.41,Sep-98,10,0,2390,5.4,13
7500,24.08,F,Site Manager,10+ years,MORTGAGE,90000,Charged Off,25.41,May-04,11,0,12087,77.5,13
11000,11.44,B,Teacher,10+ years,RENT,87000,Fully Paid,13.77,Aug-88,8,1,9814,73,38
18000,12.12,B,USAF,10+ years,RENT,74000,Fully Paid,22.28,Apr-98,8,0,12971,56.4,14
21000,9.67,B,Truck driver,10+ years,OWN,85000,Fully Paid,29.73,Apr-00,11,0,13151,58.2,39
4550,8.39,B,Master Chief,10+ years,MORTGAGE,84000,Fully Paid,28.32,Mar-94,11,0,20888,52.5,30
18000,11.14,B,Palm Springs Unified School District,2 years,MORTGAGE,42000,Fully Paid,11.95,Aug-04,16,0,13072,46.4,24
35000,12.99,C,Lawyer Partner,10+ years,MORTGAGE,350000,Fully Paid,8.19,Sep-92,10,0,216194,45.4,43
15000,12.99,B,Operator,< 1 year,RENT,65000,Fully Paid,10.14,Dec-92,5,0,3773,31.2,9
10000,13.05,B,sperry rail,1 year,RENT,50000,Fully Paid,11.88,Dec-06,7,0,9670,54.3,19
10000,13.98,C,Billing Manager,10+ years,MORTGAGE,100000,Fully Paid,19.5,Nov-98,20,0,26117,86.5,38
15000,18.25,D,Bank of America,< 1 year,RENT,75000,Charged Off,17.2,Oct-97,8,0,10432,31.3,26
2000,14.98,C,Teacher,5 years,RENT,50000,Fully Paid,14.57,Mar-89,13,0,26528,56.7,17
